pronz.MultiRefRepeatExercise$,000-multirefrepeat,nl0003_lms,صباح الخير۔,SabaaH il-Kheyr,Good morning.
pronz.MultiRefRepeatExercise$,001-multirefrepeat,nl0004_ams,كيف الصحة؟,keef iS-SaHa?,How is your health?
pronz.MultiRefRepeatExercise$,002-multirefrepeat,nl0005_lms,مسا الخير۔,masaa il-Kheyr,Good evening.
pronz.MultiRefRepeatExercise$,003-multirefrepeat,nl0006_ams,كيفَك؟,keefak?,How are you?
pronz.MultiRefRepeatExercise$,004-multirefrepeat,nl0007_lms,الحمد الله منيح، كيفَك انتِ؟,il-Hamdula mneeH keefak intey?,I'm fine, thanks, and you?
pronz.MultiRefRepeatExercise$,005-multirefrepeat,nl0008_lms,نشكر الله، بخير۔,nushkor al-la bKheyr,Fine, thank God.
pronz.MultiRefRepeatExercise$,006-multirefrepeat,nl0009_lms,شو اسمك؟,shoo ismak?,What's your name?
pronz.MultiRefRepeatExercise$,007-multirefrepeat,nl0010_ams,أنا اسمي جان۔,ana ismee jaan,My name is John.
pronz.MultiRefRepeatExercise$,008-multirefrepeat,nl0011_lms,تشرّفنا۔,tshar-rafna,Nice to meet you.
pronz.MultiRefRepeatExercise$,009-multirefrepeat,nl0012_lms,أهلا وسهلا فيك۔,ahla wasahla feek,Welcome.
pronz.MultiRefRepeatExercise$,010-multirefrepeat,nl0013_ams,خاطرك۔,KhaaTrak,Good-bye.
pronz.MultiRefRepeatExercise$,011-multirefrepeat,nl0014_lms,بشوفك بعدين۔,bshoofak ba'deyn,See you later.
pronz.MultiRefRepeatExercise$,012-multirefrepeat,nl0015_lms,بشوفك بُكرا۔,bshoofak bukraa,See you tomorrow.
pronz.MultiRefRepeatExercise$,013-multirefrepeat,nl0016_ams,شكراً۔,shukran,Thank you.
pronz.MultiRefRepeatExercise$,014-multirefrepeat,nl0017_ams,شكراً كتير۔,shukran kteer,Thank you very much.
pronz.MultiRefRepeatExercise$,015-multirefrepeat,nl0018_lms,عفواً، يا أهلين۔,afwan yaa ahleyn,You're welcome.
pronz.MultiRefRepeatExercise$,016-multirefrepeat,nl0019_lms,تفضّل كول، بالهنا انشالله۔,tfaDal kol bilhanaa inshaal-lah,Please eat and enjoy.
pronz.MultiRefRepeatExercise$,017-multirefrepeat,nl0020_ams,اعزرني۔,'zirnee,Excuse me (pardon me).
pronz.MultiRefRepeatExercise$,018-multirefrepeat,nl0021_ams,أنا آسف۔,ana aasif,I'm sorry.
pronz.MultiRefRepeatExercise$,019-multirefrepeat,nl0022_ams,اسمحلي لـ۔۔۔,smaHlee la...,Permit me/allow me to...
pronz.MultiRefRepeatExercise$,020-multirefrepeat,nl0023_lms,هَي الك۔,hay ilak,This is for you.
pronz.MultiRefRepeatExercise$,021-multirefrepeat,nl0024_lms,رجاءً ابلا، هَي الك۔,rajaa-an i-bala hay ilak,Please, accept it. It's yours.
pronz.MultiRefRepeatExercise$,022-multirefrepeat,nl0025_ams,ليش معزّب حالك؟,leysh m'az-zib Haalak,You shouldn't have.
pronz.MultiRefRepeatExercise$,023-multirefrepeat,nl0026_ams,لا، شكراً۔,laa shukran,No, thank you.
pronz.MultiRefRepeatExercise$,024-multirefrepeat,nl0027_ams,ممكن ادخل؟,mumken idKhol?,May I enter?
pronz.MultiRefRepeatExercise$,025-multirefrepeat,nl0028_lms,تفضّل فوت۔,tfaDal foot,Please come in.
pronz.MultiRefRepeatExercise$,026-multirefrepeat,nl0029_lms,لأ، ما بتئدر تدخل۔,la maa bti-der tudKhul,No, you may not enter.
pronz.MultiRefRepeatExercise$,027-multirefrepeat,nl0030_lms,استنّى لو سمحت۔,istan-na law samaHt,Please wait.
pronz.MultiRefRepeatExercise$,028-multirefrepeat,nl0031_lms,اي۔,ey,Yes.
pronz.MultiRefRepeatExercise$,029-multirefrepeat,nl0032_lms,لأ۔,la,No.
pronz.MultiRefRepeatExercise$,030-multirefrepeat,nl0033_lms,طيب۔,Tay-yeb,Okay.
pronz.MultiRefRepeatExercise$,031-multirefrepeat,nl0034_lms,يمكن۔,yimken,Maybe.
pronz.MultiRefRepeatExercise$,032-multirefrepeat,nl0035_lms,مو مشكلة۔,moo mshkleh,No problem.
pronz.MultiRefRepeatExercise$,033-multirefrepeat,nl0036_ams,انتِ جاهز؟,intey jaahez?,Are you ready?
pronz.MultiRefRepeatExercise$,034-multirefrepeat,nl0038_ams,هادا مزبوط؟,haada mazbooT?,Is this right?
pronz.MultiRefRepeatExercise$,035-multirefrepeat,nl0039_lms,لأ، هادا غلط۔,la- haada ghalaT,No, that's wrong.
pronz.MultiRefRepeatExercise$,036-multirefrepeat,nl0040_ams,مين هالرجّال؟,meen har-rijaal?,Who is this man?
pronz.MultiRefRepeatExercise$,037-multirefrepeat,nl0041_ams,مين هالمرة؟,meen halmara?,Who is this woman?
pronz.MultiRefRepeatExercise$,038-multirefrepeat,nl0042_ams,هاد ابنك؟ /هاي بنتك؟,haad ibnak haay bintak?,Is this your son?/ Is this your daughter?
pronz.MultiRefRepeatExercise$,039-multirefrepeat,nl0043_ams,انتِ متأكِّد؟,intey mit-ak-ked?,Are you sure?
pronz.MultiRefRepeatExercise$,040-multirefrepeat,nl0044_ams,في عندك۔۔۔؟,fee 'indak?,Do you have...?
pronz.MultiRefRepeatExercise$,041-multirefrepeat,nl0045_lms,اي، أنا عندي شوَي۔,ey ana 'indee shway,Yes, I have some.
