pronz.RepeatExercise$,000-repeat,nl0003_lms,صباح الخير۔,SabaaH il-Kheyr,Good morning.
pronz.RepeatExercise$,001-repeat,nl0004_ams,كيف الصحة؟,keef iS-SaHa?,How is your health?
pronz.RepeatExercise$,002-repeat,nl0005_lms,مسا الخير۔,masaa il-Kheyr,Good evening.
pronz.RepeatExercise$,003-repeat,nl0006_ams,كيفَك؟,keefak?,How are you?
pronz.RepeatExercise$,004-repeat,nl0007_lms,الحمد الله منيح، كيفَك انتِ؟,il-Hamdula mneeH keefak intey?,I'm fine, thanks, and you?
pronz.RepeatExercise$,005-repeat,nl0008_lms,نشكر الله، بخير۔,nushkor al-la bKheyr,Fine, thank God.
pronz.RepeatExercise$,006-repeat,nl0009_lms,شو اسمك؟,shoo ismak?,What's your name?
pronz.RepeatExercise$,007-repeat,nl0010_ams,أنا اسمي جان۔,ana ismee jaan,My name is John.
pronz.RepeatExercise$,008-repeat,nl0011_lms,تشرّفنا۔,tshar-rafna,Nice to meet you.
pronz.RepeatExercise$,009-repeat,nl0012_lms,أهلا وسهلا فيك۔,ahla wasahla feek,Welcome.
pronz.RepeatExercise$,010-repeat,nl0013_ams,خاطرك۔,KhaaTrak,Good-bye.
pronz.RepeatExercise$,011-repeat,nl0014_lms,بشوفك بعدين۔,bshoofak ba'deyn,See you later.
pronz.RepeatExercise$,012-repeat,nl0015_lms,بشوفك بُكرا۔,bshoofak bukraa,See you tomorrow.
pronz.RepeatExercise$,013-repeat,nl0016_ams,شكراً۔,shukran,Thank you.
pronz.RepeatExercise$,014-repeat,nl0017_ams,شكراً كتير۔,shukran kteer,Thank you very much.
pronz.RepeatExercise$,015-repeat,nl0018_lms,عفواً، يا أهلين۔,afwan yaa ahleyn,You're welcome.
pronz.RepeatExercise$,016-repeat,nl0019_lms,تفضّل كول، بالهنا انشالله۔,tfaDal kol bilhanaa inshaal-lah,Please eat and enjoy.
pronz.RepeatExercise$,017-repeat,nl0020_ams,اعزرني۔,'zirnee,Excuse me (pardon me).
pronz.RepeatExercise$,018-repeat,nl0021_ams,أنا آسف۔,ana aasif,I'm sorry.
pronz.RepeatExercise$,019-repeat,nl0022_ams,اسمحلي لـ۔۔۔,smaHlee la...,Permit me/allow me to...
pronz.RepeatExercise$,020-repeat,nl0023_lms,هَي الك۔,hay ilak,This is for you.
pronz.RepeatExercise$,021-repeat,nl0024_lms,رجاءً ابلا، هَي الك۔,rajaa-an i-bala hay ilak,Please, accept it. It's yours.
